company,Owner Name,mobile,email,address,pincode,city,website,category,State
Vanani Ayurveda,Mr Deepak Kumar,9999978018,info@vananiayurveda.com,"Connaught Place NULL 7, LGF, Jain Mandir Road",110001,Delhi,www.vananiayurveda.com,Gymnasiums/Health Clubs,
Parko Poolo Developers,Mr Shivam,9818738173,info@parkopoolo.com,"Mansrover Garden NULL Office No F/38, Shoping Center 1",110085,Delhi,www.parkopoolo.com,Gymnasiums/Health Clubs,
NAP Health And Fitness,Meenal Agarval,9008500025,info@napfit.in,Koramangala 4th Block ,560034,Bangalore,www.napfit.in,Gymnasiums/Health Clubs,
Golds Gym,Rohan Ajila,9886236909,richmond.bangalore@goldsgymindia.com,Richmond Town Convent Road 2,560025,Bangalore,www.goldsgymbangalore.com,Gymnasiums/Health Clubs,
H L Slimming Point & Hair Life,Manjunath T V,9845101328,info@hlslimmingpoint.net,Jayanagar 4th Block 8th Main Diagonal Road 73,560011,Bangalore,www.hlslimmingpoint.in,Gymnasiums/Health Clubs,
Heart Beat,Srinivas,9901099976,heartbeatblr@gmail.com,Yelahanka 1st Main A Sector 325,560064,Bangalore,www.heartbeatindia.com,Gymnasiums/Health Clubs,
Apurva Agencies,Manoj,9686048272,apurvagencies@gmail.com,Chamrajpet 5th Main Road 65 2,560018,Bangalore,www.apurvafitness.com,Gymnasium Equipments,
Stay Fit,Ganesh Reddy,9900111929,info@stayfitindia.com,Jayanagar 30th Cross 4th Block 120,560011,Bangalore,www.stayfitindia.com,Gymnasium Equipments,
Dollars Fitness Club,Keshav,9880956229,bel@snapfitnessindia.com,New BEL Road 2nd Floor 18,560054,Bangalore,www.snapfitnessindia.com,Gymnasiums/Health Clubs,
Contours International Womens Health And Fitness Studio,Chandra gopalan,9845540806,preeti@contoursinternational.in,Jayanagar 7th Block 1st Floor 9th Cross 540/1,560082,Bangalore,www.controursinternational.in,Gymnasiums/Health Clubs,
Fitness Cube,Praveen S P,9886772650,enquiry@fitnesscube.in,Padmanabhanagar 80 Feet Road Puttalingaiah Road 12,560070,Bangalore,www.fitnesscube.in,Gymnasiums/Health Clubs,
Grand Slam Fitness Pvt Ltd,G S Prasad,9632225327,info@grandslamfitness.co.in,Koramangala VI Bk 80 Feet Road 20th Main 8th Block 821,560095,Bangalore,www.grandslamfitness.co.in,Gymnasium Equipments,
Welcare Fitness Equipment,Ramesh Kumar Shetty,9900026315,info@welcareindia.com,Jayanagar S.L V Nilaya Chikka Devasandra KR Puram Krishnarajapuram 200/F/5/1,560011,Bangalore,www.welcareindia.com,Gymnasium Equipments,
S & T Welcare Equipments Pvt Ltd,Mr Mahesh C,9980875446,info@welcareindia.com,Hebbal NULL No.6,560024,Bangalore,www.welcareindia.com,Gymnasium Equipments,
Snap Fitness,Shwetha,9538447777,marthahalli@snapfitnessindia.com,Marathahalli Temple Street Sanjaynagar 1 And 2,560037,Bangalore,www.snapfitnessindia.com,Gymnasiums/Health Clubs,
Reforma Fitness,Vijay,9591064966,reforma247@gmail.com,Mathikere Caves Road 25,560054,Bangalore,www.reforma.in,Gymnasiums/Health Clubs,
Snap Fitness,Saveen Menon,9591445555,info@snapfitnessindia.com,Vijaya Nagar M G Road 998/20,560040,Bangalore,www.snapfitnessindia.com,Gymnasiums/Health Clubs,
A R Fitness,Asadullah Baig,9739742814,arfitness@vsnl.net,Jayanagar New Nagardas Road 1597,560041,Bangalore,www.arfitness.in,Gymnasium Equipments,
Fast Fitness Zone,Srinivasa,9342106842,velocityfitnessblr@gmail.com,Koramangala Gill Road 21 8,560034,Bangalore,www.velocityfitness.com,Gymnasium Equipments,
Fit Life Gym,K S Ram,8105291333,fitlifegym745@gmail.com,Marathahalli NULL No 141,560037,Bangalore,www.fitlifegym.in,Gymnasiums/Health Clubs,
Pro Fitness India Pvt Ltd,Madan Nair,9342506888,profitness@gmail.com,Infantry Road Sanand Cross Road Sarkhej 66 B 10/11,560001,Bangalore,www.homefietnessdirect.in,Gymnasium Equipments,
Cardiomed India Ltd,Amit,9845993336,cardiomedindia@airtelmail.in,Bellandur railway parallel road kumar park west 84,560103,Bangalore,www.cardiomedindia.com,Gymnasium Equipments,
Fitness One Group India Ltd,Wilston,9886000947,indiranagar@fitnessone.co.in,Byrasandra Phase IIl 16/1,560011,Bangalore,www.fitnessone.in,Gymnasiums/Health Clubs,
Fiitness Plus,Dr Suresh,9620162007,info@fitnesssolutions.in,Koramangala Tarwadi 5,560034,Bangalore,www.fitnessplus.in,Gymnasium Equipments,
Snap Fitness,VANSHIKA PRAMANIK,7829028888,bel@snapfitnessindia.com,Whitefield  ,560066,Bangalore,www.snapfitnessindia.com,Gymnasiums/Health Clubs,
Fitness Plus,Suresh,9902912037,drsuresh_2000@yahoo.com,Koramangala Sector 11 D Mini Market 5,560034,Bangalore,www.fitnessplus.in,Gymnasiums/Health Clubs,
Fitness Cafe,Mayak,9611578950,2mayankatrish@gmail.com,Koramangala Main Road ,560034,Bangalore,www.fitnesscafe.in,Gymnasiums/Health Clubs,
The Fitness Explorer,Suganthan,9972413241,fitnessxplorer@gmail.com,JP Nagar NULL #8,560078,Bangalore,www.fitnessexplorer.in,Gymnasiums/Health Clubs,
M 600 Fitness Station,Prasanth,9036239123,info@zainabalis.com,Sunkadakatte Bara Imam Rioad 14,560091,Bangalore,www.fitnessstation.com,Gymnasiums/Health Clubs,
Fitness Paradise,Shivakumar,9686425040,fitnessparadise2012@gmail.com,Hanumanthnagar Waghodia Road 43,560050,Bangalore,No,Gymnasiums/Health Clubs,
MBS GYMKHANA LTD,Shree Mohan,9810427717,admin@mydnshost.org,"D-26, Sector-3, Noida",201301,Noida,westgalleriamall.net,Gymnasiums/Health Clubs,
phpgym,Hamdard Kang,9876153052,no_contact@phpgym.com,Jalandhar,144001,Jalandhar,phpgym.com,Gymnasiums/Health Clubs,
universal fitnees gym,universal fitnees gym,9014623413,biradars9@gmail.com,chintal,110011,Hyderabad,universalfitneesgym.com,Gymnasiums/Health Clubs,
Mind Gym Kids Library,Brij Bhushan,9887822001,jaipur@mindgym.in,Vaishali Nagar Main Chitrakoot Marg C9/11,302021,Jaipur,www.mindgym.in,Libraries,
Universal Gym,Rajni nair,9428402401,universal_shanker@yahoo.com,Geb  18,390007,Vadodara,www.exceltreadmill.com,Material Handling Equipment,
Golds Gym,Gyan Rajpu,9825020456,gyan_26@rediffmail.com,"Akota Hunasamaranahalli,Hosahalli Road ",390020,Vadodara,www.goldsgymindia.com,Yoga Training Centres,
Golds Gym Fitness Institute,Munira Jawadwala Kawad,9223593156,ggu@goldsgymindia.com,Kandivali West Marol ,400067,Mumbai,www.goldsgymindia.com,Fitness Trainers & Consultants,
PLAY GYM,Ravi kukreja,8884725589,c.v.raman.nager@playgym.in, C.V. Raman Nagar Bangalore 560093 KARNATAKA ,560093,Bangalore,www.playgym.in,Gymnasiums/Health Clubs,
Aurangabad Gym Khana Club,Xavier Paul Sachin,9850819815,sales@ageindia.com, Kotwalpura Aurangabad 431001 MAHARASHTRA  ,431001,Aurangabad,www.agcindia.com,Gymnasiums/Health Clubs,
Talwalkars Gym,Girish Talwalkar,9967856664,wadala@talwalkars.net, Wadala West Mumbai 400031 MUMBAI   ,400031,Mumbai,www.talwalkars.net,Gymnasiums/Health Clubs,
Spartan Fitness Gym,Anand Kumar,9940344011,spartanfitnessindia@gmail.com, Virugambakkam Chennai 600092 CHENNAI   ,600092,Chennai,www.spartanfitnesscenter.com,Gymnasiums/Health Clubs,
Shivasunder Gym,Pushpa Sadasivan,9940612378,shivasundergym@yahoo.in,#28 Adyar Chennai 600020 CHENNAI   ,600020,Chennai,www.hospindia.com/shiva_sunder_hospital,Gymnasiums/Health Clubs,
The Gym,Jumeet,9811132031,Jumeet@thegym.in,"#6/15, Â Near Patel Nagar Metro Station Patel Nagar East Delhi 110008 DELHI   ",110008,Delhi,www.thegym.in,Gymnasiums/Health Clubs,
New Winner&apos;s Gym,Christopher,9840662362,christopher_0208@yahoo.com,"#550/690, Â Near Lakshmi Theatre Poonamallee High Road Chennai 600029 CHENNAI   ",600029,Chennai,www.newwinnersgym.in,Gymnasiums/Health Clubs,
Revital Gym,Preet,9871626767,info@revital.com,#45 Malviya Nagar Delhi 110017 DELHI   ,110017,Delhi,revitalgym.com,Gymnasiums/Health Clubs,
Golds Gym,Vahlra Arvarna,9769232808,rani_rarhsad@gamil.com,"4th Floor, Â Near Vashi Ralway Station Vashi Mumbai 400705 MUMBAI   ",400705,Mumbai,www.goldgymindia.com,Gymnasiums/Health Clubs,
Unik Fitness Gym,Mahita,9177208281,unik.fitness@gmail.com,"3rd Floor, Â Opposite Pizza hut Madhapur Hyderabad 500081 ANDHRA PRADESH ",500081,Hyderabad,www.unikfitness.com,Gymnasiums/Health Clubs,
Empower Gym & Fitness Club,Ruchi Seth,9334783344,emmartrading@gmail.com,"3rd Floor, Â Opposite Reliance Fresh Wanowrie Pune 411040 BIHAR & JHARKHAND ",411040,Pune,www.empowerfitnessclub.com,Gymnasiums/Health Clubs,
Fun N Fit Gym Pvt. Ltd.,Shamim Anis Ansari,9323537913,vikas@funandfit.in,"Agresen Tower, Kolbad Thane West Mumbai 400601 MUMBAI   ",400601,Mumbai,www.funandfit.in,Gymnasiums/Health Clubs,
Set Fit Gymnasium,Archana,9764625155,info@setfit.net,"House No. 311, Â Opposite Ranka Jewellers Hingane Khurd Pune 411051 MAHARASHTRA  ",411051,Pune,www.setfit.net,Gymnasiums/Health Clubs,
The Gym Health Planet,Manu Sharma,9599202222,shiv@thegym.in,"Hd-3, 1st &amp; 2nd floor,, Â Opposite metro pillar no. 361, Pitampura Delhi 110034 DELHI   ",110034,Delhi,www.thegym.in,Gymnasiums/Health Clubs,
Golds Gym,Arun Kumar,7350800900,goldsgyminbm@gmail.com,"No. 101, Â Near BizzBay Mall Kondhwa Khurd Pune 411048 MAHARASHTRA  ",411048,Pune,www.goldsgymindia.com,Gymnasiums/Health Clubs,
24 Fitness Gym & Health Center,Dinesh Kumar,8602102424,24fitness.24@gmail.com,"No. 108, Â Opposite Dana Pani Resturant Pipliyahana Indore 452016 MADHYA PRADESH & CHHATISGARH ",452016,Indore,www.24fitness.co.in,Gymnasiums/Health Clubs,
Bodyline Gym,Arindam,9836061000,bodylinesports@gmail.com,"No. 14-D, Â Opposite AAEI Ballygunge Kolkata 700019 KOLKATA   ",700019,Kolkata,wwwbodylinefitness.net,Gymnasiums/Health Clubs,
Talwalkars Gym,Talwalkars,9324225842,andheri@talwalkars.net,"No. 196, Â Opposite Kohinoor Continental Andheri East Mumbai 400059 MUMBAI   ",400059,Mumbai,www.talwalkars.net,Gymnasiums/Health Clubs,
Gold Gym,Raj Kiran,9830798570,alipore.kolkata@goldsgymindia.com,"No. 19-A, Â Near Enclave Shopping Mall Alipore Kolkata 700027 KOLKATA   ",700027,Kolkata,www.goldsgymindia.com,Gymnasiums/Health Clubs,
Powerhouse Gym,Supriya,7666323233,ghatkopar@gymindia.com,"No. 201, 2nd Floor, Â Near   brahman samaj hall Ghatkopar East Mumbai 400077 MUMBAI   ",400077,Mumbai,www.powerhousegymindia.com/,Gymnasiums/Health Clubs,
Power House Gym,Hemen solan ji,7208746063,versova@powerhousegyindia.com,"No. 301, 3rd Floor, Â Near Ganeshacharrya Hall Andheri West Mumbai 400053 MUMBAI   ",400053,Mumbai,www.powerhousegymindia.com/,Gymnasiums/Health Clubs,
Mickey Mehtas 360 Gym,Rumy,9820737171,mm360degree@gmail.com,"No. 41, 1st Floor, Â Near Sobo Centre Mall Tardeo Mumbai 400034 MUMBAI   ",400034,Mumbai,www.mickeymehtahbf.com,Gymnasiums/Health Clubs,
Talwalkars Gym,Dr. Selva,9833737852,juhu@talwalkars.net,"No. 34, Â Opposite Reliance Web World Juhu Mumbai 400049 MUMBAI   ",400049,Mumbai,www.talwalkars.net,Gymnasiums/Health Clubs,
Smith Multi Gym,Muralikrishna,9945137646,smithhiteckgym@gmail.com,"No. 431, 1st Main, Â Beside Bhagini Restaurant Sahakara Nagar Bangalore 560092 KARNATAKA ",560092,Bangalore,www.smithhiteckgym.com,Gymnasiums/Health Clubs,
Regal Gym,Dilprith,9888181570,Radnn@hotmail.com,"No. 81, Â Near Govind Sweet Sector 46 Chandigarh 160047 PUNJAB  ",160047,Chandigarh,www.regal.vox.com,Gymnasiums/Health Clubs,
Fun & Fit Gym Pvt. Ltd.,Rabi,9029044006,support@funandfit.in,"Plot No. 3, 1st Floor, Â Near ICICI Bank ATM Kharghar Mumbai 421200 MUMBAI   ",421200,Mumbai,www.funandfit.in,Gymnasiums/Health Clubs,
Addiction Gym & Spa,Vinod Rattan,9650023625,Shree@addictionindia.com,"Shop No. 9/14,Ground Floor, Â Near Siddharth Hotel East Patel Nagar Delhi 110008 DELHI   ",110008,Delhi,www.addictionindia.com,Gymnasiums/Health Clubs,
The Gym,Ritesh,9555055527,ritesh@thegym.in,"Shop No. H4/6, 2nd Floor, Â Near McDonald's Model Town Delhi 110009 DELHI   ",110009,Delhi,www.thegym.in,Gymnasiums/Health Clubs,
Fitstop Gym,Rahul singh,9999884800,info@fitstop.in,"Shop No. SCF46&amp;47, 1st Floor, Â Near Dena Bank Sector 15 Faridabad 121001 DELHI   ",121001,Faridabad,www.fitstop.in,Gymnasiums/Health Clubs,
The Gym,Siddharth,9871188882,siddharth@thegym.in,"Shop No. HD3, 2nd Floor, Â Near Gitanjali Jewels Pitampura Delhi 110034 DELHI   ",110034,Delhi,www.thegym.in,Gymnasiums/Health Clubs,NULL
UNIQUE GYM EQUIPMENT PVT. LTD.,Krunal Patel,7922760082,info@uniquegym.com,"Building Number 12, Agrawal Estate, Behind Swastic Textile, Gulab Nagar,",380026,Ahmedabad,uniquegymequipment.com,Gymnasiums/Health Clubs,NULL
Fittin Gym,Joginder Singh,8287582191,VIJAYREWLIYA321@GMAIL.COM,110 A DEVAT COLLONY,122001,Gurgaon,fittin.net,Gymnasiums/Health Clubs,NULL
